expression	gene	type
4.79843525128421	CEACAM5	T
4.50732846341441	CEACAM5	T
2.00616766373595	CEACAM5	T
1.2450246260157	CEACAM5	T
0.0116565604907708	CEACAM5	T
3.57132367654796	CEACAM5	T
3.46683329781518	CEACAM5	T
6.43916199980648	CEACAM5	T
1.08807645018464	CEACAM5	T
3.84432438436835	CEACAM5	T
2.44321887507359	CEACAM5	T
3.30518039630246	CEACAM5	T
6.23570580979441	CEACAM5	T
3.33455597666709	CEACAM5	T
1.33654504901696	CEACAM5	T
7.50659162866678	CEACAM5	T
2.14025186142654	CEACAM5	T
3.88265185221998	CEACAM5	T
8.99983430597675	CEACAM5	T
5.11658808097567	CEACAM5	T
4.31887356356917	CEACAM5	T
4.30691912020179	CEACAM5	T
0.0361859164638447	CEACAM5	T
5.47892231262769	CEACAM5	T
3.42382944425518	CEACAM5	T
1.29492594309539	CEACAM5	T
5.30087197431989	CEACAM5	T
0.174565317172384	CEACAM5	T
7.14198755124168	CEACAM5	T
1.57012140420276	CEACAM5	T
5.80124300057636	CEACAM5	T
4.45361371178436	CEACAM5	T
3.85112236348124	CEACAM5	T
5.31318779448093	CEACAM5	T
2.47297456640937	CEACAM5	T
0.633687129428527	CEACAM5	T
2.368508556797	CEACAM5	T
5.30219876041246	CEACAM5	T
2.5974343954001	CEACAM5	T
4.66353761104229	CEACAM5	T
5.03491910422747	CEACAM5	T
8.04402028175772	CEACAM5	T
5.59169168266343	CEACAM5	T
6.14873403260443	CEACAM5	T
2.48568211008034	CEACAM5	T
2.1548495341513	CEACAM5	T
6.37910366564813	CEACAM5	T
0.613772270612352	CEACAM5	T
0.285169001306882	CEACAM5	T
5.39475454823297	CEACAM5	T
4.8713035222209	CEACAM5	T
5.85190591816537	CEACAM5	T
2.31215485481276	CEACAM5	T
0.801152694873753	CEACAM5	T
3.28482339709132	CEACAM5	T
5.31544667701188	CEACAM5	T
0.0714366602596527	CEACAM5	T
2.35178434881319	CEACAM5	T
3.37816769370335	CEACAM5	T
7.51355311995571	CEACAM5	T
4.50019655485901	CEACAM5	T
9.3403388333791	CEACAM5	T
0.0538168121604669	CEACAM5	T
4.04842017334829	CEACAM5	T
2.95580453058005	CEACAM5	T
8.00924862415027	CEACAM5	T
3.29522049129948	CEACAM5	T
2.78104344010686	CEACAM5	T
3.09967678626936	CEACAM5	T
0.884512118619808	CEACAM5	T
1.71082604595495	CEACAM5	T
6.00491211982802	CEACAM5	T
8.064248041636	CEACAM5	T
1.07044153876716	CEACAM5	T
2.92100037147034	CEACAM5	T
1.60734120420646	CEACAM5	T
3.95858565779996	CEACAM5	T
3.2958027966122	CEACAM5	T
3.71232174140498	CEACAM5	T
6.61398492858303	CEACAM5	T
7.81988784059366	CEACAM5	T
5.16520850387239	CEACAM5	T
2.96902041459211	CEACAM5	T
0.375530045001924	CEACAM5	T
1.81369501165934	CEACAM5	T
0.979384301385898	CEACAM5	T
4.92184712428944	CEACAM5	T
4.88279122364976	CEACAM5	T
4.08018009659052	CEACAM5	T
0.215519441017968	CEACAM5	T
1.6376802580091	CEACAM5	T
5.61943472716212	CEACAM5	T
6.03336683445397	CEACAM5	T
0.141430044181816	CEACAM5	T
2.70000018408851	CEACAM5	T
1.0342100797994	CEACAM5	T
0.519706947099174	CEACAM5	T
5.31448554326654	CEACAM5	T
2.67701632286609	CEACAM5	T
9.42702239001468	CEACAM5	T
0.745256180639819	CEACAM5	T
3.32411543706508	CEACAM5	T
4.05664248344949	CEACAM5	T
3.44688029212628	CEACAM5	T
3.95373922942921	CEACAM5	T
0.0652516295729269	CEACAM5	T
2.62800877580087	CEACAM5	T
4.55458209862122	CEACAM5	T
4.58046510970519	CEACAM5	T
2.53971567698475	CEACAM5	T
0.395550709973105	CEACAM5	T
6.9975475894184	CEACAM5	T
2.19360870176101	CEACAM5	T
2.26276868502789	CEACAM5	T
4.57515619165101	CEACAM5	T
7.30609633192651	CEACAM5	T
0.642049035044302	CEACAM5	T
2.27140924098953	CEACAM5	T
0.119125340648219	CEACAM5	T
0.593406553289807	CEACAM5	T
5.60342902718427	CEACAM5	T
4.2048097805049	CEACAM5	T
4.75936252714529	CEACAM5	T
0.661932159401954	CEACAM5	T
4.19646147687854	CEACAM5	T
0.0357843285001499	CEACAM5	T
2.21042658350719	CEACAM5	T
0.32809448010166	CEACAM5	T
1.18827621060253	CEACAM5	T
0.611243308838909	CEACAM5	T
1.60310999771214	CEACAM5	T
4.90763339230084	CEACAM5	T
6.86427901902794	CEACAM5	T
1.32278883846742	CEACAM5	T
0.227507958883369	CEACAM5	T
1.41893687894855	CEACAM5	T
1.10615800254406	CEACAM5	T
6.59146370258366	CEACAM5	T
5.48845009650359	CEACAM5	T
3.6883694970509	CEACAM5	T
0.0125646032023086	CEACAM5	T
1.94179743675119	CEACAM5	T
4.52870758085802	CEACAM5	T
2.70385419575645	CEACAM5	T
0.36316389867708	CEACAM5	T
3.48123951699648	CEACAM5	T
2.79673271488811	CEACAM5	T
4.7859647832275	CEACAM5	T
8.13550562731028	CEACAM5	T
1.11311103383314	CEACAM5	T
5.28219142656688	CEACAM5	T
2.96593182442484	CEACAM5	T
0.116823005761703	CEACAM5	T
5.07651591282368	CEACAM5	T
3.25546024647863	CEACAM5	T
4.93215662953167	CEACAM5	T
0.677109938058234	CEACAM5	T
5.71819830326741	CEACAM5	T
2.59798542352137	CEACAM5	T
0.360280774815208	CEACAM5	T
0.0855652883689901	CEACAM5	T
3.78797044932537	CEACAM5	T
3.7125627664528	CEACAM5	T
4.80289009266179	CEACAM5	T
7.84647075017222	CEACAM5	T
0.499632435322651	CEACAM5	T
4.32074098995238	CEACAM5	T
0.233427821031184	CEACAM5	T
5.91574985903245	CEACAM5	T
6.18087049996576	CEACAM5	T
4.30008271336566	CEACAM5	T
5.18992218452891	CEACAM5	T
3.57583630176112	CEACAM5	T
4.06993927424758	CEACAM5	T
5.98082185389008	CEACAM5	T
1.85516848246987	CEACAM5	T
2.47820820381648	CEACAM5	T
5.09447593596495	CEACAM5	T
3.99417781340866	CEACAM5	T
2.30737722845662	CEACAM5	T
1.24867630560989	CEACAM5	T
4.12737244857857	CEACAM5	T
1.22067913150583	CEACAM5	T
5.99056237581597	CEACAM5	T
1.13790676623123	CEACAM5	T
1.09788313017169	CEACAM5	T
3.61745482903022	CEACAM5	T
7.06808389787429	CEACAM5	T
3.16261754977296	CEACAM5	T
4.44191301048521	CEACAM5	T
4.93815026817645	CEACAM5	T
0.0546683979718731	CEACAM5	T
0.449775075732824	CEACAM5	T
0.16194506664731	CEACAM5	T
3.53936728874689	CEACAM5	T
2.76905402093128	CEACAM5	T
2.64153423778179	CEACAM5	T
1.99945275412768	CEACAM5	T
2.55501975409444	CEACAM5	T
0.354180522418419	CEACAM5	T
4.52751891789289	CEACAM5	T
1.38581975316937	CEACAM5	T
0	CEACAM5	T
5.97655541710038	CEACAM5	T
4.78792710458242	CEACAM5	T
0.257917601101516	CEACAM5	T
4.17401644825007	CEACAM5	T
5.40658972949595	CEACAM5	T
4.1520422260173	CEACAM5	T
4.27718732640244	CEACAM5	T
1.34545428642658	CEACAM5	T
2.84966285820119	CEACAM5	T
3.11710354943314	CEACAM5	T
4.97632422230573	CEACAM5	T
4.85837295694352	CEACAM5	T
3.84807304678398	CEACAM5	T
0.662110502008945	CEACAM5	T
4.07955219691099	CEACAM5	T
0.714515103326064	CEACAM5	T
0.225219516480883	CEACAM5	T
3.22380155513958	CEACAM5	T
2.06173058351341	CEACAM5	T
2.41041166359415	CEACAM5	T
1.88668592399762	CEACAM5	T
7.34727587758463	CEACAM5	T
7.59360774422994	CEACAM5	T
0.1140599147938	CEACAM5	T
1.00962235460519	CEACAM5	T
3.69217385609602	CEACAM5	T
5.87693434687076	CEACAM5	T
2.25418403203648	CEACAM5	T
0.0725089302412513	CEACAM5	T
3.11966078761846	CEACAM5	T
6.11840561933929	CEACAM5	T
5.5394063749505	CEACAM5	T
1.96344637957271	CEACAM5	T
4.49925657327136	CEACAM5	T
1.34090972727101	CEACAM5	T
6.27183518588198	CEACAM5	T
3.08791594606162	CEACAM5	T
0.00709389620758031	CEACAM5	T
0.0218752843223415	CEACAM5	T
2.27549610975383	CEACAM5	T
0.627546047562719	CEACAM5	T
2.48900567832982	CEACAM5	T
1.69608776333891	CEACAM5	T
0.412151207633691	CEACAM5	T
1.803732924442	CEACAM5	T
3.09126365968995	CEACAM5	T
3.49730322918034	CEACAM5	T
1.8955895805158	CEACAM5	T
1.60169699183345	CEACAM5	T
4.46328698340726	CEACAM5	T
3.45813339609142	CEACAM5	T
4.68962233276083	CEACAM5	T
